Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
300.6546353784732,266.6904348003645,365.6876272827101,366.4975549498288,288.5829456380921,291.9967625675227,0.2
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
308.78665746779467,229.41340252269543,290.45456353900295,319.21906407485244,367.7754311910841,299.7930589598344,0.24
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
259.6539081886615,333.6634126738785,261.53691221625127,323.54984362527824,226.43590198790963,316.55194649328763,0.22
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
335.12834564254774,257.3467451206496,329.21510533337107,300.83980050299414,264.2700455466274,282.57603954849594,0.3
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
268.9667128533643,337.92952183465184,329.11108124505085,247.63536319875595,285.86166608266933,289.35935799985936,0.38
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
311.0968571029918,355.6840309746717,288.2063285321396,272.229384850602,381.27643952121434,317.1039416384246,0.06
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
328.9922987393938,278.2096746500929,332.49538480911633,346.1436805010491,287.8935960281311,300.4942402723707,0.2
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
309.7782883711444,331.2121917318696,351.3818376505425,286.41678089359596,281.05417092827264,306.2302217132125,0.22
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
267.97271343732785,292.21650017522313,196.79016553677957,247.19590629355022,314.7496548964911,250.02784344484064,0.18
Position1,Position2,Position3,Position4,Position5,Position6,PrePercent
287.2293293378665,294.5918815614885,336.3053512476241,248.78186187142805,238.9793684003067,304.3932259146669,0.32
